,CRACK_SPREAD_321
1995-09-07,59.934
1995-09-08,59.592
1995-09-11,58.98
1995-09-12,58.338
1995-09-13,58.64999999999999
1995-09-14,57.882000000000005
1995-09-15,57.588
1995-09-18,57.60600000000001
1995-09-19,57.168000000000006
1995-09-20,57.81
1995-09-21,59.52000000000001
1995-09-22,61.128000000000014
1995-09-25,61.134000000000015
1995-09-26,60.82200000000002
1995-09-27,60.396
1995-09-28,60.366000000000014
1995-09-29,60.696000000000005
1995-10-01,60.696000000000005
1995-10-02,59.84400000000001
1995-10-03,60.21600000000001
1995-10-04,60.726000000000006
1995-10-05,61.72800000000001
1995-10-06,61.344
1995-10-09,59.93400000000001
1995-10-10,59.976000000000006
1995-10-11,60.21600000000001
1995-10-12,60.69000000000001
1995-10-13,59.95800000000001
1995-10-16,58.374
1995-10-17,58.32000000000001
1995-10-18,58.296
1995-10-19,58.902
1995-10-20,58.77
1995-10-23,58.14599999999999
1995-10-24,58.008
1995-10-25,58.14
1995-10-26,58.386
1995-10-27,58.554
1995-10-30,57.366
1995-10-31,57.282
1995-11-01,57.24
1995-11-02,57.10199999999999
1995-11-03,56.96399999999999
1995-11-06,57.294
1995-11-07,57.39
1995-11-08,57.00000000000001
1995-11-09,57.054000000000016
1995-11-10,57.09600000000002
1995-11-13,57.11999999999999
1995-11-14,56.83199999999998
1995-11-15,56.741999999999976
1995-11-16,56.23199999999999
1995-11-17,55.41
1995-11-20,56.46000000000001
1995-11-21,56.95800000000001
1995-11-22,57.04800000000001
1995-11-23,57.04800000000001
1995-11-24,57.04800000000001
1995-11-27,56.148
1995-11-28,56.208
1995-11-29,55.94399999999999
1995-11-30,55.69199999999999
1995-12-01,55.632
1995-12-04,55.722
1995-12-05,55.488
1995-12-06,55.566
1995-12-07,56.02799999999999
1995-12-08,55.69200000000001
1995-12-11,56.82599999999999
1995-12-12,56.24399999999999
1995-12-13,56.07599999999999
1995-12-14,55.47599999999999
1995-12-15,54.618
1995-12-18,55.278
1995-12-19,57.846
1995-12-20,58.554
1995-12-21,58.71600000000001
1995-12-22,57.888000000000005
1995-12-25,58.14
1995-12-26,57.876000000000005
1995-12-27,57.95399999999999
1995-12-28,57.17400000000001
1995-12-29,56.208000000000006
1996-01-01,56.37599999999998
1996-01-02,56.21999999999999
1996-01-03,55.88399999999999
1996-01-04,55.74599999999999
1996-01-05,55.392
1996-01-08,56.352
1996-01-09,57.39
1996-01-10,57.696
1996-01-11,58.34400000000001
1996-01-12,58.938
1996-01-15,58.896
1996-01-16,59.54400000000001
1996-01-17,58.542000000000016
